R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.0111736875,0.009225125,0.01899375
0.0,0.0,0.125,-0.022347375,0.01845025,0.0379875
0.0,0.0,0.1875,-0.0335210625,0.027675375000000002,0.05698125
0.0,0.0,0.25,-0.04469475,0.0369005,0.075975
0.0,0.0,0.3125,-0.0558684375,0.046125625,0.09496875
0.0,0.0,0.375,-0.067042125,0.055350750000000004,0.1139625
0.0,0.0,0.4375,-0.0782158125,0.064575875,0.13295625
0.0,0.0,0.5,-0.0893895,0.073801,0.15195
0.0,0.0,0.5625,-0.1005631875,0.083026125,0.17094375
0.0,0.0,0.625,-0.111736875,0.09225125,0.1899375
0.0,0.0,0.6875,-0.1229105625,0.10147637500000001,0.20893125
0.0,0.0,0.75,-0.13408425,0.11070150000000001,0.227925
0.0,0.0,0.8125,-0.1452579375,0.11992662500000001,0.24691875
0.0,0.0,0.875,-0.156431625,0.12915175,0.2659125
0.0,0.0,0.9375,-0.1676053125,0.138376875,0.28490625
0.0,0.0,1.0,-0.178779,0.147602,0.3039
0.0,0.0625,0.0,-0.0047968125,0.0581755625,0.0432104375
0.0,0.0625,0.0625,-0.0159705,0.0674006875,0.062204187499999994
0.0,0.0625,0.125,-0.0271441875,0.0766258125,0.0811979375
0.0,0.0625,0.1875,-0.038317874999999994,0.0858509375,0.10019168749999999
0.0,0.0625,0.25,-0.049491562499999996,0.0950760625,0.11918543749999999
0.0,0.0625,0.3125,-0.06066525,0.1043011875,0.1381791875
0.0,0.0625,0.375,-0.07183893749999999,0.1135263125,0.1571729375
0.0,0.0625,0.4375,-0.08301262499999999,0.1227514375,0.1761666875
0.0,0.0625,0.5,-0.0941863125,0.1319765625,0.1951604375
0.0,0.0625,0.5625,-0.10536,0.1412016875,0.2141541875
0.0,0.0625,0.625,-0.1165336875,0.1504268125,0.2331479375
0.0,0.0625,0.6875,-0.127707375,0.1596519375,0.2521416875
0.0,0.0625,0.75,-0.13888106249999999,0.1688770625,0.27113543749999997
0.0,0.0625,0.8125,-0.15005475,0.1781021875,0.2901291875
0.0,0.0625,0.875,-0.1612284375,0.1873273125,0.3091229375
0.0,0.0625,0.9375,-0.172402125,0.1965524375,0.3281166875
0.0,0.0625,1.0,-0.1835758125,0.2057775625,0.3471104375
0.0,0.125,0.0,-0.009593625,0.116351125,0.086420875
0.0,0.125,0.0625,-0.0207673125,0.12557625,0.105414625
0.0,0.125,0.125,-0.031941,0.134801375,0.12440837499999999
0.0,0.125,0.1875,-0.0431146875,0.1440265,0.143402125
0.0,0.125,0.25,-0.054288375,0.153251625,0.162395875
0.0,0.125,0.3125,-0.0654620625,0.16247675,0.181389625
0.0,0.125,0.375,-0.07663574999999999,0.171701875,0.20038337499999997
0.0,0.125,0.4375,-0.08780943749999999,0.180927,0.219377125
0.0,0.125,0.5,-0.09898312499999999,0.190152125,0.23837087499999998
0.0,0.125,0.5625,-0.11015681249999999,0.19937725,0.257364625
0.0,0.125,0.625,-0.1213305,0.208602375,0.276358375
0.0,0.125,0.6875,-0.1325041875,0.2178275,0.295352125
0.0,0.125,0.75,-0.14367787499999998,0.227052625,0.314345875
0.0,0.125,0.8125,-0.15485156249999998,0.23627775,0.333339625
0.0,0.125,0.875,-0.16602524999999999,0.245502875,0.352333375
0.0,0.125,0.9375,-0.1771989375,0.254728,0.37132712500000004
0.0,0.125,1.0,-0.188372625,0.263953125,0.390320875
0.0,0.1875,0.0,-0.014390437499999999,0.1745266875,0.12963131249999998
0.0,0.1875,0.0625,-0.025564125,0.1837518125,0.1486250625
0.0,0.1875,0.125,-0.036737812499999994,0.1929769375,0.1676188125
0.0,0.1875,0.1875,-0.047911499999999996,0.2022020625,0.18661256249999997
0.0,0.1875,0.25,-0.0590851875,0.2114271875,0.2056063125
0.0,0.1875,0.3125,-0.070258875,0.2206523125,0.22460006249999998
0.0,0.1875,0.375,-0.0814325625,0.2298774375,0.24359381249999998
0.0,0.1875,0.4375,-0.09260625,0.2391025625,0.2625875625
0.0,0.1875,0.5,-0.1037799375,0.2483276875,0.28158131249999996
0.0,0.1875,0.5625,-0.114953625,0.2575528125,0.3005750625
0.0,0.1875,0.625,-0.1261273125,0.2667779375,0.3195688125
0.0,0.1875,0.6875,-0.137301,0.2760030625,0.3385625625
0.0,0.1875,0.75,-0.14847468749999998,0.2852281875,0.3575563125
0.0,0.1875,0.8125,-0.15964837499999998,0.2944533125,0.3765500625
0.0,0.1875,0.875,-0.17082206249999998,0.3036784375,0.3955438125
0.0,0.1875,0.9375,-0.18199574999999998,0.3129035625,0.4145375625
0.0,0.1875,1.0,-0.19316943749999999,0.3221286875,0.4335313125
0.0,0.25,0.0,-0.01918725,0.23270225,0.17284175
0.0,0.25,0.0625,-0.030360937499999997,0.241927375,0.1918355
0.0,0.25,0.125,-0.041534625,0.2511525,0.21082925
0.0,0.25,0.1875,-0.05270831249999999,0.260377625,0.229823
0.0,0.25,0.25,-0.063882,0.26960275,0.24881674999999998
0.0,0.25,0.3125,-0.0750556875,0.278827875,0.2678105
0.0,0.25,0.375,-0.086229375,0.288053,0.28680425
0.0,0.25,0.4375,-0.0974030625,0.297278125,0.305798
0.0,0.25,0.5,-0.10857675,0.30650325,0.32479175
0.0,0.25,0.5625,-0.1197504375,0.315728375,0.34378549999999997
0.0,0.25,0.625,-0.130924125,0.3249535,0.36277925
0.0,0.25,0.6875,-0.1420978125,0.334178625,0.38177300000000003
0.0,0.25,0.75,-0.15327149999999998,0.34340375,0.40076674999999995
0.0,0.25,0.8125,-0.16444518749999998,0.352628875,0.4197605
0.0,0.25,0.875,-0.17561887499999998,0.361854,0.43875425
0.0,0.25,0.9375,-0.18679256249999998,0.371079125,0.45774800000000004
0.0,0.25,1.0,-0.19796624999999998,0.38030425,0.47674174999999996
0.0,0.3125,0.0,-0.0239840625,0.2908778125,0.2160521875
0.0,0.3125,0.0625,-0.03515775,0.3001029375,0.2350459375
0.0,0.3125,0.125,-0.0463314375,0.3093280625,0.2540396875
0.0,0.3125,0.1875,-0.057505125,0.3185531875,0.2730334375
0.0,0.3125,0.25,-0.06867881249999999,0.3277783125,0.2920271875
0.0,0.3125,0.3125,-0.07985249999999999,0.3370034375,0.3110209375
0.0,0.3125,0.375,-0.0910261875,0.3462285625,0.33001468749999996
0.0,0.3125,0.4375,-0.102199875,0.3554536875,0.3490084375
0.0,0.3125,0.5,-0.1133735625,0.3646788125,0.3680021875
0.0,0.3125,0.5625,-0.12454725,0.3739039375,0.3869959375
0.0,0.3125,0.625,-0.1357209375,0.3831290625,0.4059896875
0.0,0.3125,0.6875,-0.146894625,0.3923541875,0.4249834375
0.0,0.3125,0.75,-0.15806831249999997,0.4015793125,0.4439771875
0.0,0.3125,0.8125,-0.169242,0.4108044375,0.46297093749999996
0.0,0.3125,0.875,-0.18041568749999998,0.4200295625,0.4819646875
0.0,0.3125,0.9375,-0.191589375,0.4292546875,0.5009584375
0.0,0.3125,1.0,-0.20276306249999998,0.4384798125,0.5199521874999999
0.0,0.375,0.0,-0.028780874999999997,0.349053375,0.25926262499999997
