R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.0027586875,0.000710625,0.06226375
0.0,0.0,0.125,-0.005517375,0.00142125,0.1245275
0.0,0.0,0.1875,-0.0082760625,0.002131875,0.18679125
0.0,0.0,0.25,-0.01103475,0.0028425,0.249055
0.0,0.0,0.3125,-0.013793437499999998,0.003553125,0.31131875
0.0,0.0,0.375,-0.016552125,0.00426375,0.3735825
0.0,0.0,0.4375,-0.0193108125,0.004974375,0.43584625
0.0,0.0,0.5,-0.0220695,0.005685,0.49811
0.0,0.0,0.5625,-0.024828187499999998,0.006395625,0.56037375
0.0,0.0,0.625,-0.027586874999999997,0.00710625,0.6226375
0.0,0.0,0.6875,-0.0303455625,0.007816875,0.68490125
0.0,0.0,0.75,-0.03310425,0.0085275,0.747165
0.0,0.0,0.8125,-0.0358629375,0.009238125,0.80942875
0.0,0.0,0.875,-0.038621625,0.00994875,0.8716925
0.0,0.0,0.9375,-0.041380312499999995,0.010659375,0.93395625
0.0,0.0,1.0,-0.044139,0.01137,0.99622
0.0,0.0625,0.0,0.0111065,0.0586914375,0.0004520625
0.0,0.0625,0.0625,0.0083478125,0.0594020625,0.0627158125
0.0,0.0625,0.125,0.005589125,0.0601126875,0.1249795625
0.0,0.0625,0.1875,0.0028304374999999996,0.0608233125,0.18724331249999998
0.0,0.0625,0.25,7.175000000000063e-05,0.0615339375,0.2495070625
0.0,0.0625,0.3125,-0.0026869374999999984,0.062244562499999996,0.3117708125
0.0,0.0625,0.375,-0.005445625000000001,0.0629551875,0.3740345625
0.0,0.0625,0.4375,-0.0082043125,0.0636658125,0.4362983125
0.0,0.0625,0.5,-0.010962999999999999,0.0643764375,0.4985620625
0.0,0.0625,0.5625,-0.013721687499999998,0.0650870625,0.5608258125
0.0,0.0625,0.625,-0.016480375,0.0657976875,0.6230895624999999
0.0,0.0625,0.6875,-0.0192390625,0.0665083125,0.6853533125
0.0,0.0625,0.75,-0.021997750000000003,0.06721893749999999,0.7476170624999999
0.0,0.0625,0.8125,-0.0247564375,0.0679295625,0.8098808125
0.0,0.0625,0.875,-0.027515125,0.0686401875,0.8721445624999999
0.0,0.0625,0.9375,-0.030273812499999997,0.0693508125,0.9344083125
0.0,0.0625,1.0,-0.0330325,0.0700614375,0.9966720625
0.0,0.125,0.0,0.022213,0.117382875,0.000904125
0.0,0.125,0.0625,0.0194543125,0.1180935,0.063167875
0.0,0.125,0.125,0.016695625,0.118804125,0.125431625
0.0,0.125,0.1875,0.0139369375,0.11951475,0.187695375
0.0,0.125,0.25,0.01117825,0.120225375,0.249959125
0.0,0.125,0.3125,0.008419562500000002,0.120936,0.31222287499999996
0.0,0.125,0.375,0.005660874999999999,0.121646625,0.37448662499999996
0.0,0.125,0.4375,0.0029021875000000003,0.12235725,0.43675037499999997
0.0,0.125,0.5,0.00014350000000000127,0.123067875,0.499014125
0.0,0.125,0.5625,-0.0026151874999999977,0.1237785,0.561277875
0.0,0.125,0.625,-0.005373874999999997,0.12448912499999999,0.623541625
0.0,0.125,0.6875,-0.0081325625,0.12519975,0.685805375
0.0,0.125,0.75,-0.010891250000000002,0.125910375,0.748069125
0.0,0.125,0.8125,-0.013649937499999997,0.12662099999999998,0.8103328750000001
0.0,0.125,0.875,-0.016408625,0.127331625,0.872596625
0.0,0.125,0.9375,-0.019167312499999995,0.12804225,0.9348603750000001
0.0,0.125,1.0,-0.021925999999999998,0.128752875,0.997124125
0.0,0.1875,0.0,0.0333195,0.1760743125,0.0013561875
0.0,0.1875,0.0625,0.030560812500000003,0.1767849375,0.0636199375
0.0,0.1875,0.125,0.027802125000000004,0.1774955625,0.1258836875
0.0,0.1875,0.1875,0.0250434375,0.1782061875,0.1881474375
0.0,0.1875,0.25,0.022284750000000002,0.1789168125,0.2504111875
0.0,0.1875,0.3125,0.019526062500000003,0.1796274375,0.31267493749999997
