R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.010850249999999999,0.0024955624999999995,0.061260125
0.0,0.0,0.125,-0.021700499999999998,0.004991124999999999,0.12252025
0.0,0.0,0.1875,-0.032550749999999996,0.0074866874999999986,0.183780375
0.0,0.0,0.25,-0.043400999999999995,0.009982249999999998,0.2450405
0.0,0.0,0.3125,-0.054251249999999994,0.012477812499999998,0.306300625
0.0,0.0,0.375,-0.06510149999999999,0.014973374999999997,0.36756075
0.0,0.0,0.4375,-0.07595174999999998,0.017468937499999997,0.428820875
0.0,0.0,0.5,-0.08680199999999999,0.019964499999999996,0.490081
0.0,0.0,0.5625,-0.09765225,0.022460062499999996,0.551341125
0.0,0.0,0.625,-0.10850249999999999,0.024955624999999995,0.61260125
0.0,0.0,0.6875,-0.11935274999999998,0.027451187499999995,0.673861375
0.0,0.0,0.75,-0.13020299999999999,0.029946749999999994,0.7351215
0.0,0.0,0.8125,-0.14105325,0.032442312499999994,0.796381625
0.0,0.0,0.875,-0.15190349999999997,0.03493787499999999,0.85764175
0.0,0.0,0.9375,-0.16275374999999997,0.03743343749999999,0.918901875
0.0,0.0,1.0,-0.17360399999999998,0.03992899999999999,0.980162
0.0,0.0625,0.0,0.042171312499999995,0.0471795,0.0019355624999999998
0.0,0.0625,0.0625,0.031321062499999996,0.0496750625,0.0631956875
0.0,0.0625,0.125,0.020470812499999998,0.052170625,0.1244558125
0.0,0.0625,0.1875,0.009620562499999999,0.0546661875,0.18571593749999998
0.0,0.0625,0.25,-0.0012296874999999999,0.05716175,0.24697606249999998
0.0,0.0625,0.3125,-0.012079937499999999,0.0596573125,0.3082361875
0.0,0.0625,0.375,-0.022930187499999997,0.062152874999999996,0.3694963125
0.0,0.0625,0.4375,-0.03378043749999999,0.06464843749999999,0.4307564375
0.0,0.0625,0.5,-0.044630687499999995,0.067144,0.4920165625
0.0,0.0625,0.5625,-0.0554809375,0.0696395625,0.5532766875
0.0,0.0625,0.625,-0.0663311875,0.072135125,0.6145368125
0.0,0.0625,0.6875,-0.07718143749999998,0.07463068749999999,0.6757969375
0.0,0.0625,0.75,-0.08803168749999998,0.07712625,0.7370570625
0.0,0.0625,0.8125,-0.09888193749999999,0.0796218125,0.7983171875
