R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.002769125,0.002977125,0.0465570625
0.0,0.0,0.125,-0.00553825,0.00595425,0.093114125
0.0,0.0,0.1875,-0.008307374999999999,0.008931375,0.13967118750000002
0.0,0.0,0.25,-0.0110765,0.0119085,0.18622825
0.0,0.0,0.3125,-0.013845625,0.014885625000000001,0.2327853125
0.0,0.0,0.375,-0.016614749999999998,0.01786275,0.27934237500000003
0.0,0.0,0.4375,-0.019383875,0.020839875,0.3258994375
0.0,0.0,0.5,-0.022153,0.023817,0.3724565
0.0,0.0,0.5625,-0.024922125,0.026794125000000002,0.41901356250000005
0.0,0.0,0.625,-0.02769125,0.029771250000000003,0.465570625
0.0,0.0,0.6875,-0.030460374999999998,0.032748375,0.5121276875
0.0,0.0,0.75,-0.033229499999999995,0.0357255,0.5586847500000001
0.0,0.0,0.8125,-0.035998625,0.038702625000000004,0.6052418125000001
0.0,0.0,0.875,-0.03876775,0.04167975,0.651798875
0.0,0.0,0.9375,-0.041536875,0.044656875000000006,0.6983559375
0.0,0.0,1.0,-0.044306,0.047634,0.744913
0.0,0.0625,0.0,0.0016893125,0.0599049375,0.01554425
0.0,0.0625,0.0625,-0.0010798124999999998,0.0628820625,0.062101312500000005
0.0,0.0625,0.125,-0.0038489375,0.0658591875,0.108658375
0.0,0.0625,0.1875,-0.006618062499999999,0.0688363125,0.15521543750000003
0.0,0.0625,0.25,-0.0093871875,0.0718134375,0.20177250000000002
0.0,0.0625,0.3125,-0.0121563125,0.0747905625,0.24832956250000002
0.0,0.0625,0.375,-0.014925437499999998,0.0777676875,0.294886625
0.0,0.0625,0.4375,-0.017694562499999997,0.0807448125,0.3414436875
0.0,0.0625,0.5,-0.020463687499999998,0.0837219375,0.38800075
0.0,0.0625,0.5625,-0.023232812499999998,0.08669906250000001,0.43455781250000003
0.0,0.0625,0.625,-0.0260019375,0.0896761875,0.481114875
0.0,0.0625,0.6875,-0.028771062499999996,0.0926533125,0.5276719375000001
0.0,0.0625,0.75,-0.0315401875,0.0956304375,0.5742290000000001
0.0,0.0625,0.8125,-0.0343093125,0.0986075625,0.6207860625000001
0.0,0.0625,0.875,-0.0370784375,0.10158468749999999,0.667343125
0.0,0.0625,0.9375,-0.0398475625,0.1045618125,0.7139001875000001
0.0,0.0625,1.0,-0.0426166875,0.1075389375,0.7604572500000001
0.0,0.125,0.0,0.003378625,0.119809875,0.0310885
0.0,0.125,0.0625,0.0006095000000000002,0.122787,0.0776455625
