R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.01280425,0.006201,0.065749875
0.0,0.0,0.125,-0.0256085,0.012402,0.13149975
0.0,0.0,0.1875,-0.038412749999999996,0.018603,0.19724962499999998
0.0,0.0,0.25,-0.051217,0.024804,0.2629995
0.0,0.0,0.3125,-0.06402125,0.031004999999999998,0.328749375
0.0,0.0,0.375,-0.07682549999999999,0.037206,0.39449924999999997
0.0,0.0,0.4375,-0.08962975,0.043407,0.460249125
0.0,0.0,0.5,-0.102434,0.049608,0.525999
0.0,0.0,0.5625,-0.11523825,0.055809,0.591748875
0.0,0.0,0.625,-0.1280425,0.062009999999999996,0.65749875
0.0,0.0,0.6875,-0.14084675,0.068211,0.723248625
0.0,0.0,0.75,-0.15365099999999998,0.074412,0.7889984999999999
0.0,0.0,0.8125,-0.16645525,0.080613,0.854748375
0.0,0.0,0.875,-0.1792595,0.086814,0.92049825
0.0,0.0,0.9375,-0.19206375,0.093015,0.986248125
0.0,0.0,1.0,-0.204868,0.099216,1.051998
0.0,0.0625,0.0,0.0657864375,0.0491425625,-0.00300725
0.0,0.0625,0.0625,0.0529821875,0.0553435625,0.062742625
0.0,0.0625,0.125,0.040177937500000004,0.0615445625,0.1284925
0.0,0.0625,0.1875,0.027373687500000007,0.0677455625,0.194242375
0.0,0.0625,0.25,0.014569437500000004,0.07394656250000001,0.25999225
0.0,0.0625,0.3125,0.0017651875000000011,0.08014756249999999,0.325742125
0.0,0.0625,0.375,-0.011039062499999988,0.0863485625,0.39149199999999995
0.0,0.0625,0.4375,-0.02384331249999999,0.0925495625,0.45724187499999996
0.0,0.0625,0.5,-0.036647562499999994,0.0987505625,0.52299175
0.0,0.0625,0.5625,-0.0494518125,0.1049515625,0.5887416249999999
0.0,0.0625,0.625,-0.0622560625,0.1111525625,0.6544915
0.0,0.0625,0.6875,-0.07506031249999999,0.1173535625,0.720241375
0.0,0.0625,0.75,-0.08786456249999998,0.1235545625,0.7859912499999999
0.0,0.0625,0.8125,-0.1006688125,0.1297555625,0.851741125
